date,year,type,country,state,location,activity,sex,age,injury,time,species
2024-05-23 00:00:00,2024.0,Unprovoked,French Polynesia,Gambier Islands,Mangareva Atoll,Freediving,M,20,Bite left forearm several ripped tendons severed nerves deep muscle wounds,Not stated,2.5m shark
2024-05-02 00:00:00,2024.0,Unprovoked,USA,South Carolina,Y-73' Ledge reef Chareston Coast,Spearfishing,M,65,Bitten on left arm,13h30,3m Sandbar shark
2024-04-26 00:00:00,2024.0,Unprovoked,Tobago,Graet Courland Bay,Turtle beach,Swimming,M,64,Bite wounds to left arm and leg wounds to abdomen and left hand,9h15,Bull shark 3m 
2024-04-26 00:00:00,2024.0,Unprovoked,Bahamas,Clarence Town Long Isand,Flying Fish Marina,Jumpinf from dock to boat acidentally fell into water at marina,M,24,Bitten on left leg puncture wounds to kneecap,Not advised,Carribean reef shark 7ft
2024-04-20 00:00:00,2024.0,Unprovoked,Australia,South Australia,West beach Glenelg,Fishing,M,16,Minor bite to left leg,13h40,Great White
2024-04-20 00:00:00,2024.0,Unprovoked,Australia,Western Australia,Lighthouse bombie surf spot Exemouth,Surfing,M,26,Minor injuries left foot,12h30,Not specified
2024-04-08 00:00:00,2024.0,Unprovoked,Maldive Islands,Nunu Atoll,Unspecified,Swimming,M,?,Minor injury to left leg,Not advised,Not specified
15 Mar 2024,2024.0,Unprovoked,AUSTRALIA,Queensland,Bargara Beach,Swimming,F,13,"Minor injuries to back, abdomen and legs",16h00,Tiger shark
04 Mar 2024,2024.0,Unprovoked,USA,Hawaii,"Old Man's, Waikiki",Surfing,M,,"No injury, shark bit surfboard",,Tiger shark 8'
02 Mar-2024,2024.0,Unprovoked,USA,Hawaii,"Rainbows, Oahu",Swimming,F,11,Lacerations to left foot,13h30,3' to 4' shark
25 Feb-2024,2024.0,Unprovoked,AUSTRALIA,Western Australia,"Sandlnd Island, Jurian Bay",,F,46,Leg bitten,11h30,Tiger shark
14 Feb-2024,2024.0,Unprovoked,INDIA,Maharashtra,"Vaitarna River, Palghar District",Fishing,M,32,Calf of lower left leg injured,,"Bull shark, 7'"
04-Feb-2024,2024.0, Provoked,TRINIDAD,,,Spearfishing,M,,Shoulder bitten,06h30,Blacktip reef shark
29 Jan-2024,2024.0,Unprovoked,AUSTRALIA,New  South Wales,"Elizabeth Bay, Sydney Harbor",Swimming,F,29,Right leg bitten,20h00,Bull shark
15 Jan-2024,2024.0,Unprovoked,BAHAMAS,Paradise Island,Paradise Island Resort,Swimming,M,10,Right leg injured ,16h00,
09-Jan-2024,2024.0,Unprovoked,AUSTRALIA,South Australia,"Walkers Beach, Elliston",Surfing,M,64,Leg bitten,13h00,White shark
05-Jan-2024,2024.0,Provoked,SOUTH AFRICA,Eastern Cape Province,Papiesfontein,Fishing,M,62,Provoked incident. Lacerations and puncture wounds to hand and calf from hooked shark ,,Raggedtooth shark
30 Dec-2023,2023.0,Unprovoked,USA,Hawaii,"Baby Beach, Maui",Surfing,M,39,FATAL,11h12,
29 Dec-2023,2023.0,Unprovoked,MEXICO,Sonora,"Tojahui Beach, Yavaros, Huatabampo",Free diving,M,22,FATAL,13h00,White shark
28 Dec-2023,2023.0,Unprovoked,AUSTRALIA,South Australia,Ethel Beach,Surfing,M,15,FATAL,13h30,"White shark, 13'"
25 Dec-2023,2023.0,Unprovoked,AUSTRALIA,New South Wales,Old Bar,Surfing,M,16,Injury to right thigh,16h30,
24-Dec-2023,2023.0,Unprovoked,AUSTRALIA,Western Australia,Wedge Island,Foil Boarding,M,46,Injured,15h00,Broze whaler?
18 Dec-2023,2023.0,Unprovoked,NEW ZEALAND,South Island,Riverton,Wading,F,21,Significant injury to leg,02h00,Sevengill shark
14  Dec-2023,2023.0,Questionable,MEXICO,Guerrero,"Playa Quieta, Ixtapa, Zihuatanejo",Swimming,M,66,FATAL,09h15,Shark involment not confirmed
14  Dec-2023,2023.0,Questionable,MEXICO,Guerrero,"Playa Quieta, Ixtapa, Zihuatanejo",Swimming,F,52,Injury to lower left leg,Early Morning,Shark involment not confirmed
08 Dec-2023,2023.0,Unprovoked,AUSTRALIA,Queensland,1770 ,Snorkeling,M,20,Leg severely  injured,16h32,
04 Dec-2023,2023.0,Unprovoked,BAHAMAS,New Providence   Isoad,Sandals Resort,Paddle boarding,F,44,FATAL,11h00,
02 Dec-2023,2023.0,Unprovoked,MEXICO,Jalisco,San Patricio Melaque,Swimming,F,26,FATAL,Morning,
30 Nov-2023,2023.0,Unprovoked,AUSTRALIA,Queensland,Clack Island,Swimming,M,21,Injured,11h30,1.8m bull shark
21 Nov-2023,2023.0,Unprovoked,BAHAMAS,Grand  Bahama Island,Tiger Beach,Scuba diving,F,47,FATAL,10h30,
10 Nov-2023,2023.0,Unprovoked,AUSTRALIA,South Australia,Port Noarlunga,Free diving,F,32,Injuries to scalp and face,13h20,
05 Nov-2023,2023.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Swimming,M,66,Lacerations to right forearm,10h30,
03 Nov-2023,2023.0,Unprovoked,AUSTRALIA,Westerm Australia,Peak Island,Spearfishing,M,,Minor injury,14h00,Lemon shark
02 Nov-2023,2023.0,Unprovoked,NEW ZEALAND,North Island,Cape Pallister,Free diving,M,,Minor injury. Wetsuit shredded,09h00,White shark
Reported 02 Nov-2023,2023.0,Questionable,EGYPT,Southern Red Sea,Fury Shoal,Scuba diving,M,66,No injury. No attack; the shark  simply head-butted him,,Oceanic whitetip shark
31 Oct-2023,2023.0,Unprovoked,AUSTRALIA,South Australia,Streaky Bay,Surfing,M,55,FATAL,10h20,"White Shark, 4.5 m"
25 Oct 2023,2023.0,Unprovoked,USA,Hawaii,"Pua’ena Point,  Haleiwa, Oahu",Surfing,M,30,Bite to right thigh,15h05,8' tiger shark
23 Oct-2023,2023.0,Provoked,Mexico,Quintana Roo,Banco Chinchorro Biosphere Reserve,Fishing,M,59,Both arms injured,,
21 Oct-2023,2023.0,Watercraft,AUSTRALIA,Western Australia,"Alexander Bay, Esperance",Fishing,M,, Dinghy damaged by shark. No injurty to the 5 men onboard,17h00,"Bronze whaler, 6'"
20 Oct 2023,2023.0,Unprovoked,BELIZE,Belize District,"San Pedro , Ambergris Caye",Snorkeling,F,8,Foot injured,,"Nurse shark, 5' to 6'"
15 Oct 2023,2023.0,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,50,Left leg and hand injured,16h00,10' tiger shark
13 Oct-2023,2023.0,Unprovoked,USA,California,"Linda Mar, Pacific State Beach, San Mateo County",Surfing,M,52,Minor linjury to left lower leg ,15h45,
02 Oct-2023,2023.0,Unprovoked,USA,Hawaii,"Paia, Maui",Surfing,F,45,Minor injury. Shark bit surfboard,13h00,10' to 12' Galapagos shark
01 Oct-2023,2023.0,Unprovoked,AUSTRALIA,South Australia,Beachport,Swimming,F,64,Minor injury. Shark bit surfboard,07h45,
01 Oct-2023,2023.0,Unprovoked,USA,California,"Wildcat Beach, Marin County",Swimming,M,52,Body not recovered,10h40,
18 Sep-2023,2023.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,,Non-lifethreatening injuries,16h00,
13 Sep-2023,2023.0,Unprovoked,EGYPT,South Sinai,Dahab,Swimming,F,34,"Left arm severely bitten, surgically amputated",,Tiger shark?
12 Sep-2023,2023.0,Questionable,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,38,Llacerations to face and chin,07h50,
11 Sep-2023,2023.0,Unprovoked,USA,Florida,"Satellite Beach, Brevard County",Surfing,M,,Bite to lower back,,
09 Sep- 2023,2023.0,Unprovoked,PHILIPPINES,Bolinao,"Pangasinan, Ilocos Norte, Luzon Island",Fishing,M,,Laceration to left thigh,,
Reported 06-Sep-2023,2023.0,Watercraft,Coral Sea,,,On a round-the-world expedition,M,,Catamaran severely damaged by sharks. No injurty to the 3 men onboard,01h00,Cookiecutter sharks
04 Sep 2023,2023.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,30s,Left hand bitten,,
04 Sep 2023,2023.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Wading,F,37,Right foot bitten,,
25 Aug 2023,2023.0,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Port Macquarie ",Surfing,M,44,Severe injuries to lower limbs,10h00,"White shark, 3.8-4.2m"
23 Aug-2023,2023.0,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,M,9,Minor injury to shoulder,09h00,
22 Aug-2023,2023.0,Watercraft,USA,California,"Pebble Beach, San Mateo County",Kayak fishing,M,19,"Shark bit kayak, no injury to occupant",13h00,
21 Aug-2023,2023.0,Questionable,BAHAMAS,New Providence   Isoad,"Saunders Beach, Nassau",,M,20/30,Body found with shark bites. Possible drowning. Cause of Death Unknown,Morning,
16 Aug-2023,2023.0,Unprovoked,SPAIN,Valencia,Rabdells Beach,Wading,M,35,Minor lacerations to right foot,Afternoon,Blue shark
16 Aug-2023,2023.0,Provoked,PORTUGAL,Norte, 9 nm off Vila do Conde ,Fishing,M,,Leg bitten,19h30,Blue shark
12 Aug-2023,2023.0,Unprovoked,SAMOA,Savai'i island,Lano,Towing a dead whale out to sea,M,,FATAL,Evening,
07 Aug-2023,2023.0,Unprovoked,USA,New York,Rockaway,Wading,F,65,Laceration to left posterior thigh,17h50,
31 Jul-2023,2023.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,22,Ankle injured,09h30,
30 Jul-2023,2023.0,Unprovoked,USA,Florida,"Anna Maria Island, Manatee County",Spearfishing,M,22,Lower leg bitten,15h30,
29 Jul-2023,2023.0,Unprovoked,USA,Florida,Tampa Bay,Swimming,F,26,Superficial injuries to abomen and thighs,20h00,
24 Jul-2023,2023.0,Unprovoked,AUSTRALIA,Western Australia,Gnarabup Beach ,Surfing,M,20s,Laceration to leg,08h45,Wfite shark
22 Jul-2023,2023.0,Unprovoked,AUSTRALIA,Western Australia,Yallingup Lagoon,Snorkeling,M,77,Lower left leg bitten,,Wobbegong shark
21 Jul-2023,2023.0,Unprovoked,USA,South Carolina,"Sea Pines Beach, Hilton Head Island, Beaufort County",Boogie boarding,M,60,Right foot injured,13h20,8' shark
18 Jul-2023,2023.0,Unprovoked,COLOMBIA,San Andrés Island,Nirvana,Freediving,M,38,"Lower right leg bittenLa Patria, 7/20/2023w","""Midday""",Oceanic whitetip shark
15 Jul-2023,2023.0,Unprovoked,USA,Florida,New Smyrna Beach,Sitting,M,49,Superficial injury to back,14h00,
14 Jul-2023,2023.0,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,M,21,Severe injury to foot,15h00,
04 Jul-2023,2023.0,Unprovoked,ECUADOR,Galapagos Islands,Mosquera Islet,Snorkeling,F,42,Serious injury to right leg,,
04 Jul-2023,2023.0,Unprovoked,USA,New York,"Cherry Grove, Suffolk County",Standing,F,,Injured,16h25,4' shark
04 Jul-2023,2023.0,Unprovoked,USA,New York,"Fire Island Pines, Suffolk County",Swimming,M,49,Injury to right hand,13h55,3' shark
04 Jul-2023,2023.0,Unprovoked,USA,New York,"Quogue Village Beach, Suffolk County",Swimming,M,47,Laceration to right knee,13h50,
03 Jul-2023,2023.0,Unprovoked,USA,New York,"Kismet Beach, Suffolk County",Surfing,M,15,Injury to left heel and toes,17h20,
03 Jul-2023,2023.0,Unprovoked,USA,New York,"Beach 3, Robert Moses State Park, Suffolk County",Swimming,F,15,3 small puncture wounds to left leg,13h45,Sand tiger shark
23-Jun-2023,2023.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Swimming,F,!2,Multiple puncture wounds to right thigh,,
23-Jun-2023,2023.0,Unprovoked,USA,Florida,"Flamingo Marina, Homestead, Miami-Dade County",Fishing,M,,Hand bitten,10h10,
Reported 14-June 2023,2023.0,Unprovoked,USA,Hawaii,Laysan,Filming,M,,Sharks bit their inflatable boats,,Tiger sharks
08-Jun 2023,2023.0,Unprovoked,EGYPT,Red Sea Protectorate,"Dream Beach, Hurguda",Swimming,M,24,Fatal,15h00,"Tiger shark, 13'"
07-Jun-2023,2023.0,Unprovoked,BAHAMAS,Freeport,Shark Junction,Scuba diving,F,73,Calf severely bitten,13h00,Caribbean rreef shark
28-May 2023,2023.0,Unprovoked,FRENCH POLYNESIA,Tahiti,"Matavai Bay, Arue, Papetee",Kite surfing,F,25,Buttock bitten,14h35,"Grey reef shark, 2 m"
28-May 2023,2023.0,Unprovoked,NEW CALEDONIA,Poum,Twagne,Spearfishing,M,42,"Fatal, bite to leg, shoulder and head",11h00,
24-May 2023,2023.0,Unprovoked,TURKS and CaICOS,Providenciales Island,Grace Bay Beach,Snorkeling,F,22,Left foot severed,15h00,Caribbean reef shark
24 May 2023,2023.0,Questionable,BAHAMAS,Lucayan Lucayan Archipelago,Athol Island,Jumped overboard,M,18,"Presumed fatal, body not recovered",Night,Shark involvement not confirmes
2023-05-20 00:00:00,2023.0,Provoked,USA, Utah,Sea Quest Aquarium Layton Davis County,Shark Feeding,F,26,Bitten on hand minor injury,1500h ,"18"" - 23"" Horn shark"
21-May 2023,2023.0,Unprovoked,USA,New Jersey,"Stone Harbor, Cape May County",Surfing,F,15,Lacerations to left foot and calf,15h00,
19 -May 2023,2023.0,Provoked,USA,Florida,"Flagship Drive, Summerland Key, Monroe County",Fishing,M,35,PROVOKED INCIDENT   Hooked shark bit his foot,20h00,
18-May-2023,2023.0,Unprovoked,USA,Florida,"Marathon, Monroe County",Spearfishing,M,20, ,15h00,
14-May-2023,2023.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,F,24,Minor inuries to right knee,17h00,
13-May-2023,2023.0,Unprovoked,AUSTRALIA,South Australia,Elliston,Surfing,M,46,FATAL,10h10,White shark
11-May-2023,2023.0,Unprovoked,USA,Florida,"Fort Pierce, St. Lucie County",Sitting,F,13,Multiple bites,Afternoon,"Bull shark, 4'"
11-May-2023,2023.0,Provoked,USA,Hawaii,"Kualoa, Oahu",Kayak fishing,M,,"Shark bit kayak, no inury to occupant",,Tiger shark
09 May-2023,2023.0, Provoked,CUBA,Mayabeque,Puerto Escondido,Spearfishing,M,,FATAL,,Bull shark
05-May-2023,2023.0,Unprovoked,USA,Florida,"Davis Reef, Islamorada, Monroe County",Spearfishing,M,22,Injury to lower leg,11h30,
03-May-2023,2023.0,Unprovoked,SOUTH AFRICA,Easten Cape Province,"Supertubes, Jeffreys Bay",Surfing,M,50s,Leg injured,19h15,
01-May-2023,2023.0,Unprovoked,SOUTH AFRICA,Easten Cape Province,Mngcibe Beach,Diving for crayfish,M,39,Shoulder injured,,
29-Apr-2023,2023.0,Unprovoked,AUSTRALIA,Western Australia,"Yallingup, Busselton",Swimming,M,,Minor injuries,11h20,1m shark
29-Apr-2023,2023.0,Unprovoked,AUSTRALIA,Western Australia,"Kurrajong Campground, Exnouth",Snorkeling,M,11,Cuts to leg,15h00,
23-Apr-2023,2023.0,Unprovoked,USA,Florida,"Anna Maria Island, Manatee County",Spearfishing,M,,Minor injury to lower right leg,,"Bull shark, 6'"
22-Apr-2023,2023.0,Unprovoked,AUSTRALIA,Western Australia,Lucy's Beach,Surfing,M,30,Bite to right arm,07h15,"Bronze whaler shark, 1.5 m"
11-Apr-2023,2023.0,Unprovoked,USA,Florida,"Virginia Key, Monroe County",Windsurfing,F,50s,Lacerations to leg,15h00,
09-Apr-2023,2023.0,Watercraft,USA,Florida,Off Boca Raton. Palm Beach County,Kayak fishing,M,,"No injury, kayak damaged",07h00,
09-Apr-2023,2023.0,Unprovoked,USA,Hawaii,"Kewalos, Oahu",Surfing,M,58,Injuries to right foot ,07h00,"Tiger shark, 8'-10'"
25-Mar-2023,2023.0,Unprovoked,USA,Florida,"Blue Fish Channel, Key West, Monroe County",Kite-Surfing,M,67,Lacertions to right calf,14h00,
25-Mar-2023,2023.0,Provoked,CUBA,Artemisa,Playa Majana ,Fishing,M,17,Arm bitten,,
22-Mar-2023,2023.0,Unprovoked,AUSTRALIA,Western Australia,Delta Island,Wading,M,30s,Lower left leg and foot injured,18h00,
19-Mar-2023,2023.0,Unprovoked,USA,Hawaii,Anaehoomalu Bay,Swimming,M,60,Left hand and  left leg.,12h30,Blacktip reef shark 5'
17-Mar-2023,2023.0,Questionable,MEXICO,Quintana Roo,Cancún,Swimming,M,10,Significant  injury to leg ,,Authorities report injury caused bya barracuda
16-Mar-2023,2023.0,Unprovoked,AUSTRALIA,Western Australia,Cheynes Beach ,Surf-sking,F,,,08h00,5m to 6m shark
06-Mar-2023,2023.0,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Swimming,F,15,Left arm severly injured,14h20,
05-Mar-2023,2023.0,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Swimming,M,14,Right thigh bitten resulting in surgical amputation,,
02-Mar-2023,2023.0,Unprovoked,SEYCHELLES,Praslin Island,,Snorkeling,M,6,Left foot bitten,Afternoon,Lemon shark
21-Feb-2023,2023.0,Unprovoked,BRAZIL,Pernambuco,Praia de Milagres,Surfing,M,32,Injuries to left thih and calf,16h30,
19-Feb-2023,2023.0,Unprovoked,NEW CALEDONIA,South Province,"Château-Royal Beach , Noumea",Swimming,M,59,"FATAL, Multiple injuries",16h00,Bull shark
19-Feb-2023,2023.0,Unprovoked,USA,Florida,"Jupiter Island, Martin County",Surfing,M,60,Injury to lower leg,17h30,
17-Feb-2023,2023.0,Questionable,FIJI,Taveuni Island,Ura Estate,Spearfishing,M,41,Questionable,07h20,
04-Feb-2023,2023.0,Unprovoked,AUSTRALIA,Western Australia,Freemantle,Swimming,F,16,Fatal,15h30,Bull shark
30-Jan-2023,2023.0,Unprovoked,AUSTRALIA,Queensland,Lady Musgrave Island,Fishing,M,8,Minor injury to chest ,,A small shark
29 Jan--2023,2023.0,Unprovoked,NEW CALEDONIA,South Province,"Chateau Royal Beach, Noumea",Swimming,M,49,"Hands, back and thigh inujured",10h30,Bull shark
08-Jan--2023,2023.0,Unprovoked,USA,Florida,"Outer Mole, Fort Zachrry Tatlor Historic Park, Key West, Monroe County",Swimming,M,34,Lacerations to leg,14h00,
05-Jan-2023,2023.0,Unprovoked,MeXICO,Gulf of California,Tobari Bay,Diving with  surface-supplied air,M,53,Fatal,11h30,
01-Jan-2023,2023.0,Provoked,USA,Florida,70 miles off Pensacola,Spearishing,M,30,Knocked spear out of his hands and fin bitten,14h50,Mako shark
Jan-2023,2023.0,Provoked,Maldives,Vaavu Atoll,,Snorkeling at Shark Feeding site,F,30,Minor injury to shoulder and back,,Nurse shark
30-Dec-2022,2022.0,Provoked,South Africa,KNZ,Protea Banks,Diving/Shark Feeding,M,26,Hamd bitten,09h00,Blacktip
13-Dec-2022,2022.0,Unprovoked,USA,Hawaii,Anaeho'imalu Bay,Swimming,M,68,"Lower left torso, defensive wounds to hands",08h00,Tiger  shark?
11 Dec-2022,2022.0,Unprovoked,AUSTRALIA,New South ales,Killick Creek near Crescent Head,Swimming,M,15,Lower leg.h bitten,-16h30,
09-Dec-2022,2022.0,Unprovoked,USA,Samoa,Pago Pago Harbor,Diving,M,43,Left leg bitten,12h00,
08-Dec-2022,2022.0,Unprovoked,USA,Hawaii,"Keawakapu Point, Kehei, Maui",Snorkeling,F,60,Fatal attack,12h00,Tiger shark
07-Dec-2022,2022.0,Unprovoked,USA,Texas,,Surfing,M,,Foot bitten,,Blacktip
27-Nov-2022,2022.0,Unprovoked,USA,Florida,Hobe Sound,Swimming,F,10,Foot bitten,Afternoon,
04-Nov-2022,2022.0,Unprovoked,USA,California,"Del Mar Beach, San Diego County",Swimming,F,50,Shallow punctures & lacerations to right thigh,10h00,Juvenile white shark
03-Nov-2022,2022.0,Provoked,USA,Florida,"Cape San Blas, Gulf County",Fishing,M,29,Right knee & thigh bitten by hooked shark,15h30,
31-Oct-2022,2022.0,Unprovoked,USA,California,"Otter Point, Pacific Grove",Surfing,M,,Minor inury from shark's fin,17h17,
28-Oct-2022,2022.0,Sea Disaster,USA,Louisiana,25 mikes from Empire,Fishing,M,40,Minor injuries to hands,Morning,
27-Oct-2022,2022.0,Provoked,USA,Mississippi,Horn Island,Fishing,M,,Minor injuries,,5'shark
25 Oct-2022,2022.0,Unprovoked,USA,Hawaii,Kauai,Snorkeling,M,51,"No injury, swim fin bitten",Afternoon,Tiger shark?
23-Oct-2022,2022.0,Unprovoked,AUSTRALIA,South Australia,Seacliff,Surf skiing ,M,19,"No injury, ski holed by shark",11h15,3m shark
10-Oct-2022,2022.0,Provoked,USA,Florida,"Key Largo, Monroe County",Fishing,M,15,Minor injury to leg by hooked shark,,Juvenile nurse shark
08-Oct-2022,2022.0,Unprovoked,USA,Louisiana,25 miles off Empire,Shipwreck,M,40,Hand bitten,,
07-Oct-2022,2022.0,Unprovoked,AUSTRALIA,Western  Australia,Port Hedland,Spearfishing,M,38,"Multiple injuries to left shoulder, arm and hand",11h30,Bull shark
06-Oct-2022,2022.0,Unprovoked,AUSTRALIA,Victoria,"Nun's Beach, Portland",Surfing,M,17,Lacerations to foot,19h00,
02-Oct-2022,2022.0,Unprovoked,USA,California,Centerville Beach,Surfing,M,31,Thigh injured,15h30,"White shark, 13'"
25-Sep-2022,2022.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Central Beach, Plettenberg Bay",Swimming,F,39,FATAL,07h53,"White shark, 13'"
22-Sep-2022,2022.0,Unprovoked,USA,Florida,"Marathon, Monroe County",Spearfishing,M,26,Severe injuries to right arm,,Bu.ll
06-Sep-2022,2022.0,Unprovoked,BAHAMAS,,Green Cay,Snorkeling,F,58,FATAL,14h00,Bull shark
03-Sep-2022,2022.0,Unprovoked,USA,Hawaii,"Lower Paia Beach Park, Maui",Swimming  or Snorkeling,F,51,Injuries to left arm and right hand,16h10,
31-Aug-2022,2022.0,Unprovoked,AUSTRALIA,New South Wales,Avoca,Surfing,M,14,Injured,07h00,Bronze whaler
17-Aug-2022,2022.0,Unprovoked,AUSTRALIA,New South Wales,Coffs Harbour,Kayaking,M,,"No injury, kayak bitten in half",,"White shark, 3 m"
15-Aug-2022,2022.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,F,,Minor injury to leg,11h17,
15-Aug-2022,2022.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Standing,F,,Multiple lLacerations to right forearm,12h00,Blacktip shark
15-Aug-2022,2022.0,Unprovoked,AUSTRALIA,Westerm Australia,Goode Beach,Spearfishing,M,17,Lacerations to lower legs,,White shark
13-Aug-2022,2022.0,Unprovoked,USA,Florida,"Looe Key, Monroe County",Snorkeling,M,10,"Lower left leg severely bitten, necessitating surgical amputation",16h00,"Bull shark, 9'"
10-Aug-2022,2022.0,Unprovoked,USA,California,"Lovers Point, Pacific Grove, Monterey County",Paddleboarding,M,,"No injury, board bitten",11h30,
28-Jul-2022,2022.0,Unprovoked,ENGLAND,Cornwall,Penzance,Snorkeling,F,,Minor injury to leg,12h30,Blue shark
27-Jul-2022,2022.0,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,M,13,Injury to upper lip,,Nurse shark
25-Jul-2022,2022.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,M,33,Minor bite to left  foot,15h00,Blacktip shark?
20-Jul-2022,2022.0,Unprovoked,USA,New York,"Kismet Beach, Long Island",Surfing,M,16,Four-inch cut to right foot,17h45,6' shark
19-Jul-2022,2022.0,Questionable,USA,Florida,"Cape Canaveral, Brevard County",,M,,minor injuries,10jh45,Shark involvement not confirmed
19-Jul-2022,2022.0,Unprovoked,USA,Noirth Carolina,"Topsail Beach, Pender County",Surfing,F,,Lacerations to lower leg,Early  morning,
17-Jul-2022,2022.0,Provoked,USA,Florida,"Content Keys, Monroe County",Fishing,M,,Fingrt bitten while releasing hooked shark PROVOKED INCUDEBT,17h30,Lemon shark  6'
16-Jul-2022,2022.0,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",,F,40,Minor lacerations to left calf,13h12,"""A small shark"""
13-Jul-2022,2022.0,Unprovoked,USA,New York,"Seaview Beach, Suffolk County",,M,49,Left wrist and buttocks bitten,18h00,
13-Jul-2022,2022.0,Unprovoked,USA,New York,"Smith Point Beach, Suffolk County",Surfing,M,41,Two-inch laceration to leg,07h30,Thought to involve a 4' sandtiger shark
10-Jul-2022,2022.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,30s,Minor injury to foot,,6' shark
07-Jul-2022,2022.0,Unprovoked,USA,New York,"Ocean Beach, Long Island",Lifeguard Training Exercise,M,17,Minor injury to foot,11hoo,
04-Jul-2022,2022.0,Unprovoked,JAPAN,Okinawa,Nago,Snorkeling,M,60,FATAL,,
03-Jul-2022,2022.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,28,Foot bitten,11h43,
03-Jul-2022,2022.0,Unprovoked,USA,New York,"Smith Point Beach, Suffolk County",Lifeguard Exercises,M,,Injuries to chest and right hand,10h15,5'shark
